,lambda(nm),T M45_LC,T M45_RC,T P45_LC,T P45_RC
479,206.954,0.133346,0.13173,0.13173,0.133346
480,206.612,0.133857,0.132198,0.132198,0.133857
481,206.271,0.134382,0.132646,0.132646,0.134382
482,205.931,0.134856,0.133015,0.133015,0.134856
483,205.592,0.135296,0.133356,0.133356,0.135296
484,205.255,0.135788,0.133782,0.133782,0.135788
485,204.918,0.136398,0.134345,0.134345,0.136398
486,204.583,0.137097,0.134981,0.134981,0.137097
487,204.248,0.137796,0.135586,0.135586,0.137796
488,203.915,0.138452,0.136133,0.136133,0.138452
489,203.583,0.139125,0.136717,0.136717,0.139125
490,203.252,0.139929,0.137462,0.137462,0.139929
491,202.922,0.14091,0.138393,0.138393,0.14091
492,202.593,0.142006,0.139415,0.139415,0.142006
493,202.265,0.14311,0.14042,0.14042,0.14311
494,201.939,0.144195,0.141407,0.141407,0.144195
495,201.613,0.145366,0.142511,0.142511,0.145366
496,201.288,0.146804,0.14391,0.14391,0.146804
497,200.965,0.148683,0.145747,0.145747,0.148683
498,200.642,0.151118,0.148108,0.148108,0.151118
499,200.321,0.154147,0.151029,0.151029,0.154147
500,200.0,0.15766,0.154417,0.154417,0.15766
